ID,Date,Retweets,Replies,Likes,Quotes,Tweet
1329639380726673409,2020-11-20T04:15:06.000Z,0,0,0,0,"@DebiePritchard @GavinNewsom It must physically hurt to be this stupid...masks don't work, nothing works...why do you thing we have a huge increase in COVIOD cases after a year of wearing masks, social distancing and lockdowns. Fly Biden flag it cures covid.... just like BLM riots!"
1329639379590131715,2020-11-20T04:15:06.000Z,0,0,0,0,"What’s the COVID test positivity rate, Kristi? https://t.co/4JVZ8GYsnQ"
1329639474196664320,2020-11-20T04:15:28.000Z,0,0,0,0,COVID-19 cases continue to dip  https://t.co/L29TnI0nwX
1329639473735458818,2020-11-20T04:15:28.000Z,0,0,0,0,"@dmangalover @ValdesRobin @michaeljknowles It will turn out clean. Rudy was arguing in PA court this week (and on TV). He keeps misstating PA election code and law. (It was PA GOP legislature that set up mail-in ballots last year, before we heard of covid.) In court, Rudy told judge it was NOT a fraud complaint."
1329639473693462529,2020-11-20T04:15:28.000Z,0,0,0,0,Antigua and Barbuda Covid-19 Entry Requirements https://t.co/rk7jQfyVAx via @traveloffpath
1329639471055298567,2020-11-20T04:15:28.000Z,0,0,0,0,NIH COVID-19 Scientific Interest Group: Ethical Quandaries in the COVID-19 Pandemic #UX #health #healthcare via https://t.co/cBj7YRwrst https://t.co/gMC2X8iSjg
1329639469813800961,2020-11-20T04:15:27.000Z,0,0,0,0,CovID is ruining everyone’s fucking life. It has now ruined my residents Christmas cause we’re now certified LOCKED the hell down. Ugh
1329639469801234433,2020-11-20T04:15:27.000Z,0,0,0,0,"Former Chief Science Officer for Pfizer Says ""Second Wave"" Faked on False-Positive COVID Tests, ""Pandemic is Over"" | HubPages ⁦@sunlorrie⁩ Thoughts?  https://t.co/OZrUA0vA6L"
1329639469042065409,2020-11-20T04:15:27.000Z,0,0,0,0,COVID-19: Justice Alito overstepped judicial boundaries #SmartNews  https://t.co/PMVrBkPM30
1329639468299501568,2020-11-20T04:15:27.000Z,0,0,0,0,@ccie8000 @CNBC Do you clowns ever learn? Don’t catch Covid and die or something. That would suck
1329639467037061120,2020-11-20T04:15:27.000Z,0,0,0,0,@ChuckNewton9 @cspan @RepMcClintock No one dies of COVID. Wake up non thinkers and see the scam.
1329639464789008384,2020-11-20T04:15:26.000Z,0,0,0,0,"Top story: Hospitals and Health Care Workers Issue a Call to Arms for Wearing Masks https://t.co/0b3tRIyUxT, see more https://t.co/FFibN49qQH"
1329639557554343937,2020-11-20T04:15:48.000Z,0,0,0,0,Entire village in Lahaul tests Covid positive . https://t.co/T6ysOBR5A1
1329639555897696257,2020-11-20T04:15:48.000Z,0,0,0,0,"@joeyabanks Yeah I  try to remember that the inferred death rate for someone 20 - 40 years old is likely about 0.01 percent.

And that death rates for all age groups have likely fallen by about 80% since the start of the pandemic. 

https://t.co/XGIwrKzQxI

https://t.co/m8tePASOx5"
