,date,processed_text,tone,score,latitude,longitude,hashtags,place,id
3308,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298617948362465282
3309,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.751489,-73.990537,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298624028169719808
3310,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.761103999999996,-73.968036,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298627067928612866
3311,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.755494,-73.97447,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298630107750424577
3312,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,33.962714,-118.27600000000001,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1298639225903087624
3313,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,34.06646,-118.30863000000001,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1298642266547007488
3314,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298633145311518720
3315,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,34.002063,-118.28737,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1298645308860243969
3316,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,33.786594,-118.29866200000001,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1298648350787592195
3317,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,33.786594,-118.29866200000001,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1298651393142792194
3318,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1283903590566957058
3319,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.746179999999995,-73.97759,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281064742933716992
3320,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.826201,-73.94879,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281067582443970560
3321,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281070449384923136
3322,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281079045787209728
3323,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.748181,-73.988421,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281073314572783617
3324,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281090435365122050
3325,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281087595775229952
3326,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.751656,-73.97516,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281084757456179202
3327,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.752159000000006,-73.97231,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281228777041932289
3328,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.867653000000004,-73.92,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281231794650611713
3329,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281234810598576129
3330,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.751489,-73.990537,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281240845707104256
3331,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.755494,-73.97447,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1281246881218256903
